Gender,Year,Age,Country,imputed_flag,mx,logmx
Female,1954,13,CHE,FALSE,0.000437,-7.735577363
Female,1954,14,CHE,FALSE,0.000393,-7.841700946
Female,1954,15,CHE,FALSE,0.000321,-8.044069435
Female,1954,16,CHE,FALSE,0.000545,-7.514724763
Female,1954,17,CHE,FALSE,0.000596,-7.425269891
Female,1954,18,CHE,FALSE,0.00056,-7.487573774
Female,1954,19,CHE,FALSE,0.000494,-7.612975041
Female,1954,20,CHE,FALSE,0.000669,-7.309726498
Female,1954,21,CHE,FALSE,0.000589,-7.437084374
Female,1954,22,CHE,FALSE,0.00065,-7.338538195
Female,1954,23,CHE,FALSE,0.000633,-7.365040136
Female,1954,24,CHE,FALSE,0.000779,-7.157499512
Female,1954,25,CHE,FALSE,0.000839,-7.083299851
Female,1954,26,CHE,FALSE,0.000775,-7.162647529
Female,1954,27,CHE,FALSE,0.000803,-7.127155844
Female,1954,28,CHE,FALSE,0.000891,-7.02316613
Female,1954,29,CHE,FALSE,0.000765,-7.175634724
Female,1954,30,CHE,FALSE,0.000882,-7.033318502
Female,1954,31,CHE,FALSE,0.001173,-6.748190709
Female,1954,32,CHE,FALSE,0.00124,-6.692643899
Female,1954,33,CHE,FALSE,0.001285,-6.656996561
Female,1954,34,CHE,FALSE,0.001161,-6.758473576
Female,1954,35,CHE,FALSE,0.001214,-6.713834586
Female,1954,36,CHE,FALSE,0.001936,-6.24713129
Female,1954,37,CHE,FALSE,0.001316,-6.633158446
Female,1954,38,CHE,FALSE,0.00182,-6.308918778
Female,1954,39,CHE,FALSE,0.002351,-6.052914509
Female,1954,40,CHE,FALSE,0.002333,-6.060600286
Female,1954,41,CHE,FALSE,0.002311,-6.070074948
Female,1954,42,CHE,FALSE,0.001993,-6.218114238
Female,1954,43,CHE,FALSE,0.002054,-6.187966167
Female,1954,44,CHE,FALSE,0.002854,-5.85903376
Female,1954,45,CHE,FALSE,0.003241,-5.731873355
Female,1954,46,CHE,FALSE,0.003198,-5.745229665
Female,1954,47,CHE,FALSE,0.003138,-5.764169625
Female,1954,48,CHE,FALSE,0.004021,-5.516224651
Female,1954,49,CHE,FALSE,0.004801,-5.338931049
Female,1954,50,CHE,FALSE,0.004518,-5.399685861
Female,1954,51,CHE,FALSE,0.005123,-5.274015074
Female,1954,52,CHE,FALSE,0.005902,-5.132464002
Female,1954,53,CHE,FALSE,0.006192,-5.084497143
Female,1954,54,CHE,FALSE,0.006669,-5.010285355
Female,1954,55,CHE,FALSE,0.007856,-4.846477708
Female,1954,56,CHE,FALSE,0.008738,-4.740073948
Female,1954,57,CHE,FALSE,0.008866,-4.725531543
Female,1954,58,CHE,FALSE,0.010146,-4.59067574
Female,1954,59,CHE,FALSE,0.010988,-4.510951511
Female,1954,60,CHE,FALSE,0.013343,-4.316763376
Female,1954,61,CHE,FALSE,0.0124,-4.390058806
Female,1954,62,CHE,FALSE,0.015143,-4.1902169
